"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-04-21","81.7","0.5680","7.1032","Kendrys Morales",434778,656756,"strikeout","swinging_strike_blocked",,,,,13,"Kendrys Morales strikes out swinging.  ","R","R","L","NYY","TOR","S",2,"null",1,2,2018,"-0.3825","-0.3243","-1.4170","-0.5235","null","null","null",0,2,"Top","null","null",,,519222,,"180421_172406","-3.7009","-118.5332","-9.7645","-2.7291","24.9080","-33.3642","3.3365","1.4679","null","null","null","80.3650","2523","5.7620",529719,656756,519222,435522,591720,609280,544369,458731,543305,592450,"54.7356","null","null","0.00",1,0,0,"null",8,"4","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"KC","2018-04-13","80.1","-3.0732","5.5855","Andrew Romine",461865,433586,"strikeout","swinging_strike_blocked",,,,,14,"Andrew Romine strikes out swinging, catcher Jonathan Lucroy to first baseman Matt Olson.  ","R","L","R","SEA","OAK","S",2,"null",3,2,2018,"0.5610","-0.8146","1.0261","-0.5180","null","null","null",1,8,"Bot","null","null",,,518960,,"180414_050723","7.9472","-116.2402","-5.1100","3.3591","23.9831","-38.6296","3.2627","1.4036","null","null","null","79.2460","2443","6.0760",529605,433586,518960,621566,476704,656305,543760,459964,519295,572039,"54.4241","null","null","0.00",1,0,0,"null",70,"7","Knuckle Curve",7,4,7,4,4,7,7,4,"Standard","Standard"
"FC","2018-03-31","83.6","-1.2172","6.1159","Ian Happ",664023,628333,"strikeout","swinging_strike_blocked",,,,,14,"Ian Happ strikes out swinging.  ","R","L","R","MIA","CHC","S",2,"null",1,2,2018,"-0.2475","0.0407","0.8020","-0.4956","null","null","null",0,3,"Top","null","null",,,592407,,"180331_235307","5.0524","-121.3494","-8.7348","-3.3732","23.7097","-30.3257","3.6248","1.4035","null","null","null","82.4260","2794","5.6400",529431,628333,592407,571506,516770,605119,500743,518618,621446,457727,"54.8613","null","null","0.00",1,0,0,"null",18,"4","Cutter",2,2,2,2,2,2,2,2,"Standard","Standard"
"SL","2018-04-17","82.1","2.3087","6.0367","Gorkys Hernandez",491676,571578,"strikeout","swinging_strike_blocked",,,,,13,"Gorkys Hernandez strikes out swinging, catcher Alex Avila to first baseman Paul Goldschmidt.  ","R","R","L","ARI","SF","S",2,"null",0,2,2018,"-0.3021","-0.0392","-0.8126","-0.4955","null","null","null",0,9,"Top","null","null",,,488671,,"180418_034109","-6.4624","-119.2240","-8.0972","-1.5892","23.5216","-31.1737","2.9362","1.1280","null","null","null","81.7790","2527","6.2480",529665,571578,488671,502671,606466,518614,605113,444482,572041,502481,"54.2544","null","null","0.00",1,0,0,"null",56,"3","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"CU","2018-04-24","80.0","-1.6940","5.7765","Luke Weaver",596133,554430,"strikeout","swinging_strike_blocked",,,,,14,"Luke Weaver strikes out swinging, catcher Tomas Nido to first baseman Adrian Gonzalez.  ","R","R","R","STL","NYM","S",2,"null",1,2,2018,"-0.0015","-0.8248","0.1227","-0.4872","null",543939,"null",1,2,"Bot","null","null",,,621512,,"180425_010036","4.0060","-116.3560","-5.5580","-0.7409","21.1368","-38.8650","3.4955","1.3958","null","null","null","80.0520","2518","6.2790",529754,554430,621512,408236,452678,453943,642708,493316,624424,457803,"54.2194","null","null","0.00",1,0,0,"null",18,"4","Curveball",2,1,2,1,1,2,2,1,"Standard","Standard"
"KC","2018-07-04","80.4","-1.2159","5.8583","Jorge Bonifacio",593528,545333,"strikeout","swinging_strike_blocked",,,,,14,"Jorge Bonifacio strikes out swinging, catcher Roberto Perez to first baseman Yonder Alonso.  ","R","R","R","KC","CLE","S",2,"null",1,2,2018,"0.8889","-1.5331","2.0612","-0.4777","null","null","null",0,2,"Bot","null","null",,,547379,,"180705_004520","5.5597","-116.8670","-4.3587","6.7671","25.0473","-45.2310","3.5357","1.3048","null","null","null","79.4200","2709","5.9820",530697,545333,547379,475174,543401,608070,596019,488726,656185,571980,"54.5174","null","null","0.00",1,0,0,"null",15,"5","Knuckle Curve",0,3,0,3,3,0,0,3,"Standard","Standard"
"KC","2018-08-28","86.0","-1.8169","6.4716","Shohei Ohtani",660271,451584,"strikeout","swinging_strike_blocked",,,,,14,"Shohei Ohtani strikes out swinging, catcher Chris Iannetta to first baseman Ryan McMahon.  ","R","L","R","LAA","COL","S",2,"null",3,2,2018,"0.0606","-0.7549","0.4299","-0.4523","null","null","null",1,9,"Bot","null","null",,,455104,,"180829_050515","5.0896","-124.7436","-8.4346","-0.4859","26.7655","-38.2014","3.5500","1.6300","null","null","null","83.8920","2566","5.2330",531381,451584,455104,641857,518934,571448,596115,467827,453568,471865,"55.2671","null","null","0.00",1,0,0,"null",68,"6","Knuckle Curve",2,3,2,3,3,2,2,3,"Infield shift","Standard"
"SL","2018-07-22","89.3","-1.4649","6.3892","Martin Prado",445988,502042,"strikeout","swinging_strike_blocked",,,,,14,"Martin Prado strikes out swinging.  ","R","R","R","TB","MIA","S",2,"null",0,2,2018,"0.2691","-0.2517","1.1673","-0.4174","null","null","null",0,6,"Top","null","null",,,446192,,"180722_184539","5.8385","-129.5283","-10.0375","1.7357","27.0821","-33.0917","3.2500","1.4400","null","null","null","88.0030","2646","5.6560",530896,502042,446192,543068,621563,622110,642715,641343,605480,460576,"54.8424","null","null","0.00",1,0,0,"null",43,"3","Slider",1,4,4,1,4,1,4,1,"Standard","Strategic"
"FS","2018-04-30","82.4","-1.7075","6.3341","James McCann",543510,607188,"strikeout","swinging_strike_blocked",,,,,14,"James McCann strikes out swinging.  ","R","R","R","DET","TB","S",2,"null",2,2,2018,"-0.8092","0.1767","0.1035","-0.4232","null","null","null",1,2,"Bot","null","null",,,491696,,"180430_233813","5.5707","-119.4740","-8.9978","-8.6603","23.0055","-29.0306","3.2962","1.3572","null","null","null","81.3050","1104","5.7440",529838,607188,491696,543543,621563,622110,621002,452655,605480,460576,"54.7544","null","null","0.00",1,0,0,"null",13,"6","Split Finger",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FC","2018-07-07","91.8","-2.0709","6.2565","Scooter Gennett",571697,453344,"strikeout","swinging_strike_blocked",,,,,14,"Scooter Gennett strikes out swinging, catcher Victor Caratini to first baseman Anthony Rizzo.  ","R","L","R","CHC","CIN","S",2,"null",2,2,2018,"0.4177","-0.2516","1.6596","-0.3987","null","null","null",1,9,"Top","null","null",,,605170,,"180707_213519","8.4643","-133.2406","-10.3736","3.2811","25.8874","-33.3423","2.9651","1.2186","null","null","null","91.2220","2407","5.8650",530735,453344,605170,519203,595879,623520,608365,656941,546991,450314,"54.6314","null","null","0.00",1,0,0,"null",81,"6","Cutter",8,7,7,8,7,8,7,8,"Standard","Standard"
